year_month,frequency
2013-01,1
2013-02,0
2013-03,0
2013-04,0
2013-05,1
2013-06,0
2013-07,1
2013-08,0
2013-09,0
2013-10,2
2013-11,0
2013-12,0
2014-01,1
2014-02,1
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,1
2015-01,2
2015-02,0
2015-03,0
2015-04,4
2015-05,0
2015-06,0
2015-07,1
2015-08,2
2015-09,0
2015-10,1
2015-11,3
2015-12,3
2016-01,0
2016-02,2
2016-03,0
2016-04,0
2016-05,1
2016-06,2
2016-07,3
2016-08,2
2016-09,5
2016-10,0
2016-11,4
2016-12,2
2017-01,1
2017-02,1
2017-03,3
2017-04,5
2017-05,1
2017-06,5
2017-07,1
2017-08,0
2017-09,3
2017-10,3
2017-11,1
2017-12,3
2018-01,3
2018-02,2
2018-03,0
2018-04,3
2018-05,6
2018-06,2
2018-07,4
2018-08,1
2018-09,5
2018-10,1
2018-11,2
2018-12,1
2019-01,3
2019-02,1
2019-03,1
2019-04,1
2019-05,3
2019-06,3
2019-07,2
2019-08,3
2019-09,4
2019-10,0
2019-11,4
2019-12,4
2020-01,5
2020-02,5
2020-03,4
2020-04,3
2020-05,2
2020-06,5
2020-07,2
2020-08,1
2020-09,4
2020-10,1
2020-11,4
2020-12,2
