sequence_number,timestamp,year,month,day,description
1,2013-01-30,2013,1,30,"An airstrike on targets in Syria destroyed a convoy containing SA-17 (Buk-M1-2) missiles intended for Hezbollah, while also causing significant damage to the SSRC, where chemical and biological weapons were developed."
2,2013-05-05,2013,5,5,"A series of air strikes were carried out on military targets northwest of Damascus, in the Jemaya region (according to media estimates, more than 40 targets were attacked, including the headquarters of the 4th division of the Syrian army, underground bunkers with Scud missiles, bases of the 104th and the 105th brigade, etc.). It was also reported about air strikes on targets in Syria on the night of May 4."
3,2013-07-05,2013,7,5,"To the east of Latakia, in Syria, an air strike destroyed a missile weapons depot (according to media reports, Russian-made Yakhont anti-ship missiles were stored there)."
4,2013-10-21,2013,10,21,"According to the Kuwaiti edition of Al-Jarida, the Israel Defense Forces air force in the Syrian-Lebanese borderThey drove several trucks carrying some military supplies for Hezbollah. The information has not received confirmation from other sources."
5,2013-10-31,2013,10,31,"A warehouse with weapons was blown up near Latakia, where, presumably, missiles of the SA-3 complex (according to NATO classification) were stored - aka the C-125 Neva missile system or, in the export version, the Pechora, intended for Hezbollah ..."
6,2014-01-27,2014,1,27,"A powerful explosion in the Latakia region. The media claimed that a warehouse with Russian-made S-300 air defense missiles was blown up."
7,2014-02-24,2014,2,24,"Explosion near the Syrian-Lebanese border. The target of the attack was a Hezbollah convoy, transporting a batch of surface-to-surface missiles from Syria to Lebanon, capable of carrying more powerful warheads than almost all the missiles at the disposal of the Shiite terrorist group. As a result of the air raid, four Hezbollah activists were killed."
8,2014-12-07,2014,12,7,"IDF aircraft attacked a Hezbollah convoy transporting a batch of Russian-made missiles destined for Hezbollah from Syria to Lebanon. According to Arab media, two Hezbollah militants became victims of the attack. This information contradicts the statement of official Damascus, according to which there were no fatalities as a result of the attack."
9,2015-01-18,2015,1,18,"Two missiles were fired from the air towards a target in the Quneitra area. The attack killed high-ranking Hezbollah commanders and Iranian officers."
10,2015-01-28,2015,1,28,"The Israeli Air Force attacked the artillery positions of the Syrian government army in response to the recent rocket attacks on Israeli territory."
11,2015-04-02,2015,4,2,"The DPA reported that the Israeli Air Force attacked the positions of the Syrian army near Homs."
12,2015-04-25,2015,4,25,"According to Arab media reports, Israeli planes bombed warehouses with missiles from the Syrian army and the Lebanese Hezbollah group. One death is reported."
13,2015-04-26,2015,4,26,"In the evening, a group of terrorists who planted a mine were destroyed by an air strike on Syrian territory near the Israeli border."
14,2015-04-27,2015,4,27,"According to Arab media reports, the IDF Air Force destroyed a Scud missile depot for Hezbollah north of Damascus. There are people killed and wounded in Syrian territory."
15,2015-07-29,2015,7,29,"Lebanese media reported that the IDF Air Force destroyed a vehicle with militants in the Quneitra area. Five militants were killed."
16,2015-08-20,2015,8,20,"The Syrian state news agency SANA reported late Thursday night, August 20, that the IDF air force was striking Syrian territory. Two administration buildings in Quneitra were reportedly attacked. This operation was a response to rocket attacks on Israel."
17,2015-08-21,2015,8,21,"The IDF Air Force attacked 14 targets of the Syrian government army located in the Golan Heights. This was in response to rocket attacks on Israeli territory."
18,2015-10-30,2015,10,30,"The Syrian opposition reported that the Israeli Air Force launched strikes on Syrian territory. The attacks were carried out on positions of government forces and the Lebanese terrorist group Hezbollah."
19,2015-11-11,2015,11,11,"Syrian and Lebanese media reported that the Israeli Air Force launched a series of attacks on a target in the area of ​​Damascus airport. Iranian weapons destined for Hezbollah were allegedly destroyed."
20,2015-11-23,2015,11,23,"An air strike against a mixed garrison of Hezbollah and the Syrian regular army near the village of Ras al-Maara."
21,2015-11-29,2015,11,29,"Air strike on positions of the Syrian army and Hezbollah in the border area of ​​Kalamoun."
22,2015-12-04,2015,12,4,"An air strike on a convoy of trucks carrying missiles in the Al Qatifa area north of Damascus."
23,2015-12-20,2015,12,20,"In the Jarman area (south of Damascus), a building was destroyed as a result of an air strike, and at least 9 people were killed - Hezbollah commanders and militants. Among those killed are Samir Kuntar, who led the actions of Hezbollah militants in the Syrian part of the Golan Heights, and field commander Farhan Shaalan."
24,2015-12-26,2015,12,26,"Syrian media reported that the Israeli air force attacked seven targets in the Kalamoun mountains. It is alleged that the strikes were carried out on targets of Hezbollah militants."
